,Round,Time,Color,Move,Black,White,Depth,Cost,Score
2138,4,1.128, O ,"(D, 3)",3,5,6,min,2.0
2139,5,1.458, X ,"(C, 4)",5,4,6,hybrid,1.0
2140,6,4.426, O ,"(E, 2)",4,6,6,min,2.0
2141,7,2.913, X ,"(C, 3)",6,5,6,hybrid,1.0
2142,8,3.811, O ,"(B, 3)",5,7,6,min,2.0
2143,9,5.748, X ,"(C, 2)",7,6,6,hybrid,1.0
2144,10,5.508, O ,"(D, 1)",6,8,6,min,2.0
2145,11,5.882, X ,"(C, 1)",8,7,6,hybrid,1.0
2146,12,7.131, O ,"(B, 5)",7,9,6,min,2.0
2147,13,11.577, X ,"(D, 2)",9,8,6,hybrid,1.0
2148,14,7.7, O ,"(C, 6)",8,10,6,min,2.0
2149,15,14.904, X ,"(F, 3)",10,9,6,hybrid,1.0
2150,16,6.788, O ,"(G, 3)",6,14,6,min,8.0
2151,17,10.927, X ,"(F, 2)",9,12,6,hybrid,-3.0
2152,18,9.754, O ,"(F, 1)",7,15,6,min,8.0
2153,19,13.215, X ,"(D, 6)",9,14,6,hybrid,-5.0
2154,20,7.24, O ,"(E, 1)",8,16,6,min,8.0
2155,21,18.401, X ,"(F, 4)",10,15,6,hybrid,-5.0
2156,22,21.042, O ,"(G, 4)",7,19,6,min,12.0
2157,23,18.286, X ,"(C, 5)",11,16,6,hybrid,-5.0
2158,24,12.572, O ,"(B, 4)",8,20,6,min,12.0
2159,25,19.141, X ,"(B, 6)",10,19,6,hybrid,-9.0
2160,26,12.885, O ,"(F, 6)",9,21,6,min,12.0
2161,27,19.57, X ,"(A, 5)",11,20,6,hybrid,-9.0
2162,28,15.957, O ,"(D, 7)",8,24,6,min,16.0
2163,29,12.978, X ,"(H, 3)",11,22,6,hybrid,-11.0
2164,30,9.041, O ,"(H, 4)",10,24,6,min,14.0
2165,31,16.856, X ,"(A, 4)",12,23,6,hybrid,-11.0
2166,32,7.21, O ,"(A, 3)",11,25,6,min,14.0
2167,33,14.858, X ,"(G, 5)",16,21,6,hybrid,-5.0
2168,34,15.316, O ,"(C, 7)",14,24,6,min,10.0
2169,35,14.181, X ,"(H, 5)",17,22,6,hybrid,-5.0
2170,36,7.268, O ,"(H, 6)",14,26,6,min,12.0
2171,37,13.622, X ,"(G, 6)",20,21,6,hybrid,-1.0
2172,38,7.847, O ,"(E, 7)",17,25,6,min,8.0
2173,39,7.361, X ,"(F, 7)",19,24,6,hybrid,-5.0
2174,40,6.235, O ,"(F, 8)",16,28,6,min,12.0
