,Round,Time,Increasing,Player,Score,Depth
442,15,0.255,False,First,3,4
443,16,0.339,True,First,6,4
444,17,0.267,False,First,1,4
445,18,0.279,True,First,6,4
446,19,0.309,False,First,3,4
447,20,0.128,True,First,10,4
448,21,0.246,False,First,5,4
449,22,0.426,True,First,8,4
450,23,0.399,False,First,3,4
451,24,0.178,True,First,8,4
452,25,0.312,False,First,5,4
453,26,0.265,True,First,12,4
454,27,0.57,False,First,7,4
455,28,0.646,True,First,10,4
456,29,0.598,False,First,7,4
457,30,0.55,True,First,16,4
458,31,0.425,False,First,13,4
459,32,0.532,True,First,16,4
460,33,0.501,False,First,13,4
461,34,0.445,True,First,24,4
462,35,0.159,False,First,21,4
463,36,0.228,True,First,28,4
464,37,0.189,False,First,21,4
465,38,0.292,True,First,24,4
466,39,0.275,False,First,19,4
467,40,0.154,True,First,26,4
468,41,0.155,False,First,15,4
469,42,0.181,True,First,20,4
470,43,0.231,False,First,7,4
471,44,0.283,True,First,18,4
472,45,0.214,False,First,13,4
473,46,1.437,True,First,22,4
474,47,0.156,False,First,15,4
475,48,0.807,True,First,18,4
476,49,0.067,False,First,15,4
477,50,0.308,True,First,18,4
478,51,0.027,False,First,15,4
479,52,0.072,True,First,20,4
480,53,0.022,False,First,11,4
481,54,0.038,True,First,22,4
482,55,0.012,False,First,15,4
483,56,0.011,True,First,30,4
484,57,0.003,False,First,11,4
485,58,0.001,True,First,14,4
486,59,0.001,False,First,-9,4
487,60,0.0,True,First,4,4
488,0,0.0,,Second,0,5
489,1,0.086,True,Second,3,5
490,2,0.169,False,Second,0,5
491,3,0.229,True,Second,3,5
492,4,0.249,False,Second,0,5
493,5,0.399,True,Second,3,5
494,6,0.345,False,Second,0,5
495,7,0.619,True,Second,3,5
496,8,0.989,False,Second,-2,5
497,9,0.944,True,Second,1,5
498,10,1.104,False,Second,-8,5
499,11,0.509,True,Second,1,5
500,12,0.862,False,Second,-2,5
501,13,1.16,True,Second,1,5
502,14,1.49,False,Second,-2,5
503,15,1.522,True,Second,5,5
504,16,1.276,False,Second,0,5
505,17,1.106,True,Second,3,5
506,18,2.061,False,Second,-2,5
507,19,2.765,True,Second,5,5
508,20,2.443,False,Second,0,5
509,21,2.56,True,Second,7,5
510,22,2.957,False,Second,4,5
511,23,1.455,True,Second,7,5
512,24,2.2,False,Second,2,5
513,25,1.126,True,Second,7,5
514,26,2.508,False,Second,4,5
515,27,1.118,True,Second,9,5
516,28,2.054,False,Second,6,5
517,29,1.282,True,Second,9,5
518,30,1.667,False,Second,4,5
519,31,1.069,True,Second,7,5
520,32,1.04,False,Second,2,5
521,33,0.554,True,Second,9,5
522,34,1.11,False,Second,-4,5
523,35,0.748,True,Second,-1,5
524,36,0.9,False,Second,-8,5
525,37,0.578,True,Second,-3,5
526,38,0.808,False,Second,-10,5
527,39,0.703,True,Second,-3,5
528,40,0.877,False,Second,-8,5
529,41,1.202,True,Second,1,5
530,42,1.096,False,Second,-6,5
531,43,0.84,True,Second,3,5
532,44,0.714,False,Second,-6,5
533,45,0.658,True,Second,1,5
534,46,0.446,False,Second,-2,5
535,47,3.335,True,Second,3,5
536,48,0.394,False,Second,-6,5
537,49,0.578,True,Second,-3,5
538,50,0.118,False,Second,-8,5
539,51,0.481,True,Second,-1,5
540,52,0.103,False,Second,-10,5
541,53,0.11,True,Second,3,5
542,54,0.015,False,Second,-4,5
543,55,0.009,True,Second,-1,5
544,56,0.003,False,Second,-8,5
545,57,0.003,True,Second,-3,5
546,58,0.001,False,Second,-6,5
547,59,0.0,True,Second,-3,5
548,60,0.001,True,Second,12,5
549,0,0.0,,First,0,5
550,1,0.084,False,First,-3,5
551,2,0.181,True,First,0,5
552,3,0.227,False,First,-3,5
553,4,0.256,True,First,0,5
554,5,0.413,False,First,-3,5
555,6,0.323,True,First,0,5
556,7,0.607,False,First,-3,5
557,8,0.991,True,First,2,5
558,9,0.908,False,First,-1,5
559,10,1.137,True,First,8,5
560,11,0.488,False,First,-1,5
561,12,0.852,True,First,2,5
562,13,1.145,False,First,-1,5
563,14,1.486,True,First,2,5
564,15,1.482,False,First,-5,5
565,16,1.226,True,First,0,5
566,17,1.112,False,First,-3,5
567,18,2.047,True,First,2,5
568,19,2.767,False,First,-5,5
569,20,2.439,True,First,0,5
570,21,2.524,False,First,-7,5
571,22,2.912,True,First,-4,5
572,23,1.448,False,First,-7,5
573,24,2.191,True,First,-2,5
574,25,1.141,False,First,-7,5
575,26,2.47,True,First,-4,5
576,27,1.113,False,First,-9,5
577,28,2.068,True,First,-6,5
578,29,1.266,False,First,-9,5
579,30,1.632,True,First,-4,5
580,31,1.086,False,First,-7,5
581,32,1.042,True,First,-2,5
582,33,0.553,False,First,-9,5
583,34,1.087,True,First,4,5
584,35,0.716,False,First,1,5
585,36,0.877,True,First,8,5
586,37,0.563,False,First,3,5
587,38,0.789,True,First,10,5
588,39,0.706,False,First,3,5
589,40,0.854,True,First,8,5
590,41,1.183,False,First,-1,5
591,42,1.094,True,First,6,5
592,43,0.839,False,First,-3,5
593,44,0.721,True,First,6,5
594,45,0.636,False,First,-1,5
595,46,5.283,True,First,8,5
596,47,0.291,False,First,-1,5
597,48,1.964,True,First,6,5
598,49,0.264,False,First,-3,5
599,50,0.168,True,First,0,5
600,51,0.051,False,First,-5,5
601,52,0.274,True,First,-2,5
602,53,0.074,False,First,-5,5
603,54,0.222,True,First,6,5
604,55,0.04,False,First,-1,5
605,56,0.02,True,First,10,5
606,57,0.012,False,First,7,5
